34.84,34.05,34.60,34.02
34.79,34.25,34.62,34.46
34.65,35.15,34.68,35.03
34.71,34.40,34.77,34.49
35.16,34.20,35.00,34.46
35.12,35.12,35.34,34.82
34.87,35.21,35.30,34.79
34.62,35.89,35.23,35.26
35.01,35.20,35.20,34.87
35.50,35.17,35.48,34.96
35.37,34.27,35.05,34.60
35.60,35.86,35.47,35.48
35.01,36.30,35.57,35.71
34.89,34.26,34.57,34.36
35.02,35.46,35.34,35.10
35.48,35.28,35.71,35.09
34.34,35.19,35.05,34.58
33.98,35.11,35.09,33.82
34.40,35.03,35.27,34.30
35.22,34.84,35.13,34.81
35.10,35.53,35.65,35.27
35.42,34.87,35.31,34.95
35.25,35.34,35.72,35.15
36.26,36.09,36.65,36.14
35.82,35.95,35.83,35.41
36.24,36.43,36.43,35.95
36.69,36.07,36.59,36.02
36.01,36.57,36.40,36.28
36.30,35.95,36.40,35.71
36.92,36.57,36.81,36.48
36.69,37.08,37.01,36.65
36.97,36.43,36.92,36.56
36.78,37.18,37.08,36.76
37.72,36.98,38.82,36.86
38.39,37.66,38.18,37.78
37.59,38.19,38.00,37.30
37.85,37.56,37.75,37.34
37.27,37.92,38.24,37.33
37.60,38.03,37.96,37.71
38.66,37.34,39.22,37.42
38.30,37.29,39.09,37.17
37.52,37.45,37.95,37.65
37.38,37.03,37.25,37.27
37.36,37.59,37.68,37.35
37.62,37.09,37.43,37.38
38.02,37.43,37.89,37.61
37.96,37.90,37.98,37.76
38.55,37.95,38.54,37.96
38.16,38.05,38.25,37.90
37.30,37.91,37.89,37.27
38.92,37.72,39.53,37.36
38.17,37.93,38.23,37.72
37.69,37.72,37.95,37.55
37.81,37.99,37.94,37.52
37.17,37.80,37.69,37.53
37.61,37.82,37.88,37.36
37.68,37.65,37.73,37.48
37.49,37.12,37.34,37.17
37.50,37.57,37.72,37.33
37.21,37.01,37.45,36.89
37.06,37.46,37.53,37.30
37.09,37.52,37.48,37.46
37.42,36.78,37.24,37.10
37.54,37.21,37.61,36.85
37.28,37.04,37.37,37.15
37.10,36.95,37.32,36.98
37.92,37.35,37.86,37.46
37.57,37.56,37.81,37.26
37.63,37.70,37.99,37.43
37.76,37.64,37.97,37.56
36.66,37.45,37.47,36.59
37.15,37.06,37.38,36.83
37.19,36.69,37.13,36.66
37.60,36.85,37.57,36.80
37.33,36.80,37.31,36.62
37.20,36.84,37.39,36.71
37.35,36.85,37.35,37.01
37.24,37.08,37.29,36.95
37.32,37.37,37.43,37.08
37.64,37.76,38.03,37.51
37.96,37.48,38.09,37.55
36.89,38.10,38.04,36.91
37.68,37.55,38.41,36.95
38.20,38.17,38.43,37.91
37.84,37.87,38.23,37.55
36.88,37.36,37.47,36.81
36.85,37.17,37.11,36.74
36.79,37.06,37.19,36.63
37.28,37.59,37.54,37.21
37.98,37.06,38.18,37.02
37.47,38.46,38.19,37.93
37.94,38.41,38.32,38.09
38.63,37.92,38.38,38.09
37.86,38.51,38.51,37.86
38.14,37.70,38.35,37.65
38.34,38.95,39.23,38.17
40.39,40.42,42.06,39.87
39.25,39.28,39.38,38.94
38.79,39.37,38.37,38.80
39.23,40.30,39.27,39.71
