68.98,67.59,69.03,66.73
69.19,68.66,69.87,68.15
68.49,68.80,68.60,67.23
69.56,68.64,69.19,68.73
69.86,71.15,70.85,70.23
67.53,68.83,68.89,66.78
68.90,68.45,70.36,67.88
67.10,68.73,69.17,66.08
67.66,67.03,68.12,66.42
65.34,67.77,67.28,65.76
65.59,67.46,67.07,65.81
68.44,63.87,66.16,66.63
67.70,65.73,66.68,66.54
68.09,65.98,67.31,67.08
65.28,67.10,66.62,65.40
65.99,65.26,65.83,65.54
65.15,66.01,66.10,65.16
66.29,66.56,67.00,65.06
65.63,65.50,65.87,65.22
67.23,61.55,64.39,65.22
65.42,66.07,66.00,64.99
65.62,65.72,65.97,64.92
65.42,66.13,65.90,65.78
66.62,68.18,66.72,67.16
66.59,65.15,66.14,64.90
66.48,66.82,67.48,65.80
63.86,66.52,66.81,62.98
64.66,65.12,65.64,63.51
65.65,65.68,66.80,65.25
63.27,65.44,66.38,63.16
55.35,58.13,58.26,53.73
53.44,55.24,56.11,52.96
57.06,55.93,56.90,55.46
55.95,56.43,56.70,54.30
54.06,55.41,54.66,54.71
52.98,54.13,54.04,53.10
52.74,53.91,52.95,53.38
51.65,53.15,53.31,51.50
52.95,51.80,52.11,52.09
54.66,49.18,51.63,52.92
51.32,53.53,53.75,51.08
52.64,52.96,52.92,52.31
48.92,54.31,53.00,50.00
52.48,53.48,53.50,52.40
54.12,49.45,51.38,53.86
55.22,53.43,54.14,53.98
55.30,54.65,54.76,54.10
56.31,54.85,55.74,54.77
57.27,56.49,56.77,56.38
56.04,57.12,56.98,55.65
57.14,57.78,57.59,57.53
58.11,56.98,58.08,57.15
57.90,57.91,58.20,57.88
59.12,58.10,58.44,57.30
56.10,56.30,56.62,55.86
56.95,56.29,56.48,55.74
58.02,57.13,58.06,56.94
55.73,56.97,57.23,56.21
55.80,56.54,56.64,55.97
57.46,56.47,57.54,56.74
56.80,56.17,56.24,55.95
57.84,56.49,57.50,56.56
58.25,57.98,58.36,57.52
59.68,58.68,60.05,58.91
58.47,58.78,59.03,58.27
57.98,57.72,57.71,57.24
58.34,59.09,59.00,58.08
59.39,58.62,59.99,58.77
58.59,58.89,59.87,58.12
57.57,57.13,57.41,57.11
56.87,57.50,57.52,56.50
57.30,55.95,56.59,56.18
57.01,57.89,57.29,57.19
57.93,57.67,58.45,57.31
56.78,53.07,54.04,57.41
57.66,57.00,57.87,56.79
57.19,56.97,57.35,56.84
49.20,50.84,50.58,48.34
57.46,53.81,54.79,57.90
56.34,57.53,57.62,56.37
56.86,55.34,56.48,56.46
56.26,57.30,58.15,56.59
56.71,55.48,56.30,56.35
56.11,56.72,56.47,56.25
56.72,56.28,57.02,56.35
54.18,56.21,55.91,53.17
51.43,52.96,52.94,51.52
50.83,51.45,51.96,51.18
51.72,52.88,52.68,51.20
52.87,52.45,53.19,52.47
52.71,52.86,52.56,52.27
52.45,53.36,53.27,51.45
52.68,51.81,52.37,52.42
52.99,52.05,52.82,52.96
53.31,53.41,53.94,53.50
52.83,53.70,53.92,53.08
53.38,53.28,53.38,52.91
53.80,51.44,53.15,50.77
53.66,53.29,52.90,52.81
53.35,53.29,52.92,52.62
